date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2007-10-15,Beans (black) - Wholesale,MT,pulses and nuts,996.186,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2007-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1004.5875,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2007-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1033.82,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1037.535,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1125.6575,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1301.6325,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1305.0775,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1200.3233,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1151.678,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1368.3,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1607.5625,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1871.834,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1553.595,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1704.84,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2008-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1657.59,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1837.485,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1689.84,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1934.76,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1786.5767,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1578.915,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1610.896,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-07-15,Beans (black) - Wholesale,MT,pulses and nuts,1572.4575,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-08-15,Beans (black) - Wholesale,MT,pulses and nuts,1574.796,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-09-15,Beans (black) - Wholesale,MT,pulses and nuts,1584.4175,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-10-15,Beans (black) - Wholesale,MT,pulses and nuts,1584.14,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-11-15,Beans (black) - Wholesale,MT,pulses and nuts,1651.8325,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2009-12-15,Beans (black) - Wholesale,MT,pulses and nuts,1656.475,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-01-15,Beans (black) - Wholesale,MT,pulses and nuts,1553.82,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-02-15,Beans (black) - Wholesale,MT,pulses and nuts,1608.76,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-03-15,Beans (black) - Wholesale,MT,pulses and nuts,1675.698,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-04-15,Beans (black) - Wholesale,MT,pulses and nuts,1697.335,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-05-15,Beans (black) - Wholesale,MT,pulses and nuts,1683.81,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
2010-06-15,Beans (black) - Wholesale,MT,pulses and nuts,1596.905,USD,Costa Rica,,0,National Average,300,85,14,18,5,300_85_14_18,
